case_key,index_key,window_size,model_name,config_index,config_key,config_summary,config_json,run_stage,window_id,train_end_date,test_reference_date,test_target_date,is_tuning_window,reference_close,target_close,y_true,y_pred,actual_close,predicted_close,fit_seconds,status,error_message,error_points,error_pct,abs_error_pct
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,1,2022-02-28,2022-03-01,2022-03-02,True,33294.94921875,33891.3515625,33891.3515625,33506.234375,33891.3515625,33506.234375,0.0038860831409692,completed,,-385.1171875,-1.1363287970082707,1.1363287970082707
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,2,2022-03-01,2022-03-02,2022-03-03,True,33891.3515625,33794.66015625,33794.66015625,33899.171875,33794.66015625,33899.171875,0.0036917906254529,completed,,104.51171875,0.3092551257115439,0.3092551257115439
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,3,2022-03-02,2022-03-03,2022-03-04,True,33794.66015625,33614.80078125,33614.80078125,33893.6171875,33614.80078125,33893.6171875,0.0036630001850426,completed,,278.81640625,0.8294453626675099,0.8294453626675099
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,4,2022-03-03,2022-03-04,2022-03-07,True,33614.80078125,32817.37890625,32817.37890625,33744.890625,32817.37890625,33744.890625,0.0037280423566699,completed,,927.51171875,2.826282139715178,2.826282139715178
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,5,2022-03-04,2022-03-07,2022-03-08,True,32817.37890625,32632.640625,32632.640625,33527.12109375,32632.640625,33527.12109375,0.003658624831587,completed,,894.48046875,2.7410606424070223,2.7410606424070223
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,6,2022-03-07,2022-03-08,2022-03-09,True,32632.640625,33286.25,33286.25,33103.0078125,33286.25,33103.0078125,0.0035670003853738,completed,,-183.2421875,-0.550504149611326,0.550504149611326
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,7,2022-03-08,2022-03-09,2022-03-10,True,33286.25,33174.0703125,33174.0703125,33092.7109375,33174.0703125,33092.7109375,0.0035805003717541,completed,,-81.359375,-0.2452499022085443,0.2452499022085443
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,8,2022-03-09,2022-03-10,2022-03-11,True,33174.0703125,32944.19140625,32944.19140625,33100.88671875,32944.19140625,33100.88671875,0.0035469173453748,completed,,156.6953125,0.4756386659114437,0.4756386659114437
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,9,2022-03-10,2022-03-11,2022-03-14,True,32944.19140625,32945.23828125,32945.23828125,33038.96875,32945.23828125,33038.96875,0.0036237090826034,completed,,93.73046875,0.284503842254328,0.284503842254328
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,10,2022-03-11,2022-03-14,2022-03-15,True,32945.23828125,33544.33984375,33544.33984375,33115.55078125,33544.33984375,33115.55078125,0.0035677077248692,completed,,-428.7890625,-1.2782754542116654,1.2782754542116654
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,11,2022-03-14,2022-03-15,2022-03-16,True,33544.33984375,34063.1015625,34063.1015625,33790.6796875,34063.1015625,33790.6796875,0.00445850007236,completed,,-272.421875,-0.799756518061493,0.799756518061493
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,12,2022-03-15,2022-03-16,2022-03-17,True,34063.1015625,34480.76171875,34480.76171875,33950.0390625,34480.76171875,33950.0390625,0.0037030838429927,completed,,-530.72265625,-1.5391848375594408,1.5391848375594408
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,13,2022-03-16,2022-03-17,2022-03-18,True,34480.76171875,34754.9296875,34754.9296875,34122.46484375,34754.9296875,34122.46484375,0.0035969163291156,completed,,-632.46484375,-1.819784558440563,1.819784558440563
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,14,2022-03-17,2022-03-18,2022-03-21,True,34754.9296875,34552.98828125,34552.98828125,34379.17578125,34552.98828125,34379.17578125,0.0036280001513659,completed,,-173.8125,-0.503031745287045,0.503031745287045
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,15,2022-03-18,2022-03-21,2022-03-22,True,34552.98828125,34807.4609375,34807.4609375,34409.4296875,34807.4609375,34409.4296875,0.0035964166745543,completed,,-398.03125,-1.1435227944799011,1.1435227944799011
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,16,2022-03-21,2022-03-22,2022-03-23,True,34807.4609375,34358.5,34358.5,34623.4296875,34358.5,34623.4296875,0.0036521251313388,completed,,264.9296875,0.7710746612919656,0.7710746612919656
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,17,2022-03-22,2022-03-23,2022-03-24,True,34358.5,34707.94140625,34707.94140625,34366.36328125,34707.94140625,34366.36328125,0.003701957874,completed,,-341.578125,-0.9841497684979112,0.9841497684979112
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,18,2022-03-23,2022-03-24,2022-03-25,True,34707.94140625,34861.23828125,34861.23828125,34566.21484375,34861.23828125,34566.21484375,0.0035238331183791,completed,,-295.0234375,-0.8462792833686501,0.8462792833686501
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,19,2022-03-24,2022-03-25,2022-03-28,True,34861.23828125,34955.890625,34955.890625,34587.55859375,34955.890625,34587.55859375,0.0035022920928895,completed,,-368.33203125,-1.0537051829157909,1.0537051829157909
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,20,2022-03-25,2022-03-28,2022-03-29,True,34955.890625,35294.19140625,35294.19140625,34596.39453125,35294.19140625,34596.39453125,0.0034989579580724,completed,,-697.796875,-1.9770870140303936,1.9770870140303936
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,21,2022-03-28,2022-03-29,2022-03-30,True,35294.19140625,35228.80859375,35228.80859375,34895.5078125,35228.80859375,34895.5078125,0.0035721668973565,completed,,-333.30078125,-0.946102904283659,0.946102904283659
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,22,2022-03-29,2022-03-30,2022-03-31,True,35228.80859375,34678.3515625,34678.3515625,34972.1640625,34678.3515625,34972.1640625,0.0035528331063687,completed,,293.8125,0.8472504797999653,0.8472504797999653
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,23,2022-03-30,2022-03-31,2022-04-01,True,34678.3515625,34818.26953125,34818.26953125,34686.98046875,34818.26953125,34686.98046875,0.0034929998219013,completed,,-131.2890625,-0.3770694645871639,0.3770694645871639
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,24,2022-03-31,2022-04-01,2022-04-04,True,34818.26953125,34921.87890625,34921.87890625,34769.265625,34921.87890625,34769.265625,0.0034647500142455,completed,,-152.61328125,-0.4370133739358642,0.4370133739358642
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,25,2022-04-01,2022-04-04,2022-04-05,True,34921.87890625,34641.1796875,34641.1796875,34800.94921875,34641.1796875,34800.94921875,0.0035087503492832,completed,,159.76953125,0.4612127320469158,0.4612127320469158
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,26,2022-04-04,2022-04-05,2022-04-06,True,34641.1796875,34496.51171875,34496.51171875,34155.875,34496.51171875,34155.875,0.003509166650474,completed,,-340.63671875,-0.9874526489147964,0.9874526489147964
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,27,2022-04-05,2022-04-06,2022-04-07,True,34496.51171875,34583.5703125,34583.5703125,34165.26953125,34583.5703125,34165.26953125,0.0033743330277502,completed,,-418.30078125,-1.2095361394737432,1.2095361394737432
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,28,2022-04-06,2022-04-07,2022-04-08,True,34583.5703125,34721.12109375,34721.12109375,34555.625,34721.12109375,34555.625,0.0035033328458666,completed,,-165.49609375,-0.4766438655685868,0.4766438655685868
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,29,2022-04-07,2022-04-08,2022-04-11,True,34721.12109375,34308.078125,34308.078125,34607.66796875,34308.078125,34607.66796875,0.0035614999942481,completed,,299.58984375,0.8732341189688835,0.8732341189688835
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,30,2022-04-08,2022-04-11,2022-04-12,True,34308.078125,34220.359375,34220.359375,34486.02734375,34220.359375,34486.02734375,0.0035181250423192,completed,,265.66796875,0.7763447655201605,0.7763447655201605
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,31,2022-04-11,2022-04-12,2022-04-13,True,34220.359375,34564.58984375,34564.58984375,34348.6328125,34564.58984375,34348.6328125,0.0036122500896453,completed,,-215.95703125,-0.6247926916715592,0.6247926916715592
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,32,2022-04-12,2022-04-13,2022-04-14,True,34564.58984375,34451.23046875,34451.23046875,34492.9921875,34451.23046875,34492.9921875,0.0041488339193165,completed,,41.76171875,0.1212198176430336,0.1212198176430336
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,33,2022-04-13,2022-04-14,2022-04-18,True,34451.23046875,34411.69140625,34411.69140625,34480.89453125,34411.69140625,34480.89453125,0.0037365830503404,completed,,69.203125,0.2011035266561498,0.2011035266561498
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,34,2022-04-14,2022-04-18,2022-04-19,True,34411.69140625,34911.19921875,34911.19921875,34448.71875,34911.19921875,34448.71875,0.0034962920472025,completed,,-462.48046875,-1.3247338364177774,1.3247338364177774
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,35,2022-04-18,2022-04-19,2022-04-20,True,34911.19921875,35160.7890625,35160.7890625,34666.45703125,35160.7890625,34666.45703125,0.0036653750576078,completed,,-494.33203125,-1.4059184803028764,1.4059184803028764
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,36,2022-04-19,2022-04-20,2022-04-21,True,35160.7890625,34792.76171875,34792.76171875,35073.6328125,34792.76171875,35073.6328125,0.0036514592356979,completed,,280.87109375,0.8072687532551839,0.8072687532551839
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,37,2022-04-20,2022-04-21,2022-04-22,True,34792.76171875,33811.3984375,33811.3984375,34892.91796875,33811.3984375,34892.91796875,0.0035765003412961,completed,,1081.51953125,3.198683228820532,3.198683228820532
DOWJONES_w20,DOWJONES,20,XGBoost,1,a04e624a3009c64a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",tuning,38,2022-04-21,2022-04-22,2022-04-25,True,33811.3984375,34049.4609375,34049.4609375,34485.3671875,34049.4609375,34485.3671875,0.0034674163907766,completed,,435.90625,1.2802148345318425,1.2802148345318425
