case_key,index_key,window_size,model,config_index,config_key,config_summary,config_json,tune_MAE,tune_RMSE,tune_R2,tune_n,tune_close_MAE,tune_close_RMSE,tune_close_R2,tune_close_n,tune_close_MAE_pct,tune_close_RMSE_pct,tune_abs_error_pct_mean,tune_error_pct_bias,tune_windows,eval_MAE,eval_RMSE,eval_R2,eval_n,eval_close_MAE,eval_close_RMSE,eval_close_R2,eval_close_n,eval_close_MAE_pct,eval_close_RMSE_pct,eval_abs_error_pct_mean,eval_error_pct_bias,eval_windows,mean_fit_seconds,metric_scope,target_definition
DOWJONES_w10,DOWJONES,10,GRU,72,98ffd95c2936a288,hid=128 layers=3 drop=0.00 lr=3e-04 bs=16 ep=32 act=relu wd=1e-03,"{""activation"": ""relu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 3, ""weight_decay"": 0.001}",389.70874575791856,493.1154950588485,0.8967903399969377,221,389.70874575791856,493.1154950588485,0.8967903399969377,221,1.1968530181876023,1.5144303919288278,1.2052177547980543,0.0050742159228164075,221,294.5417243234932,426.5249779485358,0.992804271558625,813,294.5417243234932,426.5249779485358,0.992804271558625,813,0.731817522262452,1.0597427351329174,0.7313256537378794,-0.12476294297301163,813,0.12002830153080764,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level
DOWJONES_w10,DOWJONES,10,LSTM,64,46565775770edc5b,hid=128 layers=1 drop=0.00 lr=3e-04 bs=16 ep=32 act=relu wd=0e+00,"{""activation"": ""relu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 1, ""weight_decay"": 0.0}",398.3459505797511,495.460155821599,0.8958065260534467,221,398.3459505797511,495.460155821599,0.8958065260534467,221,1.2233791476939084,1.5216311908358842,1.2317140880385968,0.08431265876792052,221,293.24616822340096,418.4352054174151,0.9930746414841874,813,293.24616822340096,418.4352054174151,0.9930746414841874,813,0.7285985872972984,1.0396429095377857,0.7289007933536573,-0.09227646559385783,813,0.0730139457429732,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level
DOWJONES_w10,DOWJONES,10,MLP,231,46a7514e9d3e8d32,hid=128 layers=2 drop=0.00 lr=3e-04 bs=16 ep=32 act=silu wd=1e-03,"{""activation"": ""silu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 2, ""weight_decay"": 0.001}",398.6971242222851,490.6407902469773,0.8978236579413014,221,398.6971242222851,490.6407902469773,0.8978236579413014,221,1.2244576537283505,1.5068302085727903,1.2326973993214783,-0.0645692656528624,221,317.07858625461256,474.4227309621515,0.9910974011382699,813,317.07858625461256,474.4227309621515,0.9910974011382699,813,0.7878125446854508,1.178749354697164,0.7871480176470805,-0.1818854352077659,813,0.047833471746783755,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level
DOWJONES_w10,DOWJONES,10,RNN,76,2274222ecf3b2f36,hid=128 layers=2 drop=0.00 lr=1e-04 bs=16 ep=32 act=relu wd=0e+00,"{""activation"": ""relu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0001, ""num_layers"": 2, ""weight_decay"": 0.0}",393.26881539875563,490.0050010078789,0.8980882936163702,221,393.26881539875563,490.0050010078789,0.8980882936163702,221,1.2077865169632254,1.5048776060766207,1.2179335575903418,0.05835158046208292,221,293.93771381073185,425.03389319106776,0.9928544945798988,813,293.93771381073185,425.03389319106776,0.9928544945798988,813,0.7303167994773024,1.0560379902272512,0.7301197148753051,-0.08595364142850792,813,0.07454940393104123,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level
DOWJONES_w20,DOWJONES,20,GRU,66,1c64976ca6bd8834,hid=128 layers=1 drop=0.00 lr=3e-04 bs=16 ep=32 act=relu wd=1e-03,"{""activation"": ""relu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 1, ""weight_decay"": 0.001}",383.76972563684836,490.0603029506699,0.8979332764658018,211,383.76972563684836,490.0603029506699,0.8979332764658018,211,1.1810030639659803,1.5080989474935973,1.1900766310807818,0.0416566143006357,211,302.5342817881304,429.7576866958567,0.9926947827936325,813,302.5342817881304,429.7576866958567,0.9926947827936325,813,0.7516758075826229,1.0677747140014264,0.7494894959915392,-0.10293401984297892,813,0.12776607940168103,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level
DOWJONES_w20,DOWJONES,20,LSTM,70,91e7eae0194ceeb2,hid=128 layers=3 drop=0.00 lr=3e-04 bs=16 ep=32 act=relu wd=0e+00,"{""activation"": ""relu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 3, ""weight_decay"": 0.0}",381.7596915728673,474.77946081264906,0.9041992363211142,211,381.7596915728673,474.77946081264906,0.9041992363211142,211,1.174817436935869,1.4610740776838818,1.186558570612136,0.10390783104086306,211,299.85601408748465,412.0770686133536,0.993283504598871,813,299.85601408748465,412.0770686133536,0.993283504598871,813,0.7450213913462004,1.0238455010964485,0.7439890093734435,-0.07338602603279565,813,0.17430533299693707,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level
DOWJONES_w20,DOWJONES,20,MLP,153,e8958760a6a80e77,hid=128 layers=3 drop=0.00 lr=3e-04 bs=16 ep=32 act=tanh wd=1e-03,"{""activation"": ""tanh"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 3, ""weight_decay"": 0.001}",369.74620482819904,479.94279988113317,0.9021041939074643,211,369.74620482819904,479.94279988113317,0.9021041939074643,211,1.137847442414223,1.4769636042744845,1.1467341138497296,0.009139695375160548,211,306.64859125153754,432.1047411603097,0.992614772301266,813,306.64859125153754,432.1047411603097,0.992614772301266,813,0.7618982090581595,1.0736061987825252,0.7599613408786061,-0.1052622345157096,813,0.11138082567686067,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level
DOWJONES_w20,DOWJONES,20,RNN,76,2274222ecf3b2f36,hid=128 layers=2 drop=0.00 lr=1e-04 bs=16 ep=32 act=relu wd=0e+00,"{""activation"": ""relu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0001, ""num_layers"": 2, ""weight_decay"": 0.0}",370.6274622334123,473.40862910136883,0.9047516491598264,211,370.6274622334123,473.40862910136883,0.9047516491598264,211,1.140559401243108,1.4568555155017893,1.1509340031512867,0.0600925100076025,211,297.06902483087333,419.04592768535093,0.9930544110774638,813,297.06902483087333,419.04592768535093,0.9930544110774638,813,0.7380968458440992,1.0411603083305638,0.7363980013775452,-0.10960703040334194,813,0.14604781302887204,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level
NASDAQ_w10,NASDAQ,10,GRU,72,98ffd95c2936a288,hid=128 layers=3 drop=0.00 lr=3e-04 bs=16 ep=32 act=relu wd=1e-03,"{""activation"": ""relu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 3, ""weight_decay"": 0.001}",232.94589136736425,282.6512151864871,0.9349010441587537,221,232.94589136736425,282.6512151864871,0.9349010441587537,221,1.951346020061414,2.3677186173241354,1.9581767001606787,0.3142279918714713,221,187.65914485316728,261.7651531261754,0.9949668227195289,813,187.65914485316728,261.7651531261754,0.9949668227195289,813,1.081524310230426,1.5086148713864316,1.1038237450787602,-0.27220831270219165,813,0.11836872905685529,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level
NASDAQ_w10,NASDAQ,10,LSTM,64,46565775770edc5b,hid=128 layers=1 drop=0.00 lr=3e-04 bs=16 ep=32 act=relu wd=0e+00,"{""activation"": ""relu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 1, ""weight_decay"": 0.0}",234.82875689338235,286.71582584610866,0.9330152964697559,221,234.82875689338235,286.71582584610866,0.9330152964697559,221,1.9671184474218608,2.4017671329995784,1.973241844534097,0.4990463637797697,221,189.55316800238316,261.74039307603863,0.9949677748388344,813,189.55316800238316,261.74039307603863,0.9949677748388344,813,1.0924400163721062,1.5084721733251867,1.1142312889796195,-0.2343239910065423,813,0.07184888799071339,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level
