Date,index_key,close,daily_return,rsi14,macd_hist,bb_z20,roc10,vol20,sma10_gap,atr14_pct,williams_r14,index_label
2022-01-03,DOWJONES,36585.05859375,,,0.0,,,,,,,Dow Jones Industrial Average
2022-01-03,NASDAQ,15832.7998046875,,,0.0,,,,,,,Nasdaq Composite
2022-01-03,RUSSELL3000,2804.929931640625,,,0.0,,,,,,,Russell 3000
2022-01-03,SP500,4796.56005859375,,,0.0,,,,,,,S&P 500
2022-01-04,DOWJONES,36799.6484375,0.005865504990243631,,13.694622507120949,,,,,,,Dow Jones Industrial Average
2022-01-04,NASDAQ,15622.7197265625,-0.013268662568625578,0.0,-13.406819800569792,,,,,,,Nasdaq Composite
2022-01-04,RUSSELL3000,2800.409912109375,-0.0016114554165016504,0.0,-0.2884570868947776,,,,,,,Russell 3000
2022-01-04,SP500,4793.5400390625,-0.000629621957060511,0.0,-0.1927305911682197,,,,,,,S&P 500
2022-01-05,DOWJONES,36407.109375,-0.010666924255178234,87.66456554695604,-3.5218868962093257,,,,,,,Dow Jones Industrial Average
2022-01-05,NASDAQ,15100.169921875,-0.033448068827544475,0.0,-54.424497979927395,,,,,,,Nasdaq Composite
2022-01-05,RUSSELL3000,2739.340087890625,-0.02180745895616043,0.0,-4.350811062815919,,,,,,,Russell 3000
2022-01-05,SP500,4700.580078125,-0.019392757790687165,0.0,-6.235475399448914,,,,,,,S&P 500
2022-01-06,DOWJONES,36236.46875,-0.004687013825853903,82.87847993757522,-25.04131008233968,,,,,,,Dow Jones Industrial Average
2022-01-06,NASDAQ,15080.8603515625,-0.0012787651008169254,0.0,-78.35825227452412,,,,,,,Nasdaq Composite
2022-01-06,RUSSELL3000,2739.199951171875,-5.115710873926371e-05,0.0,-6.667308496226585,,,,,,,Russell 3000
2022-01-06,SP500,4696.0498046875,-0.0009637690162076495,0.0,-9.970537139276187,,,,,,,S&P 500
2022-01-07,DOWJONES,36231.66015625,-0.00013270039592361282,82.74139190674745,-37.48954551213309,,,,,,,Dow Jones Industrial Average
2022-01-07,NASDAQ,14935.900390625,-0.009612181106264384,0.0,-98.16960718026709,,,,,,,Nasdaq Composite
2022-01-07,RUSSELL3000,2725.60009765625,-0.004964899882466289,0.0,-8.611873785266543,,,,,,,Russell 3000
2022-01-07,SP500,4677.02978515625,-0.004050216740091761,0.0,-12.965366604790777,,,,,,,S&P 500
