index_key,index_label,close_mean,close_median,close_std,close_min,close_max,start_close,end_close,sample_return_pct,max_drawdown_pct
DOWJONES,Dow Jones Industrial Average,38513.943893547344,38160.35546875,5457.838492893758,28725.509765625,50188.140625,36585.05859375,46341.51171875,26.667862510043207,-21.94080382476479
NASDAQ,Nasdaq Composite,16143.535505940143,15625.3798828125,3944.364507139572,10213.2900390625,23958.470703125,15832.7998046875,21590.630859375,36.36647419101973,-35.4928366110034
RUSSELL3000,Russell 3000,2926.668485024818,2858.5599365234375,553.9965133855558,2076.070068359375,3971.580078125,2804.929931640625,3717.56005859375,32.536646162113605,-25.98495795062282
SP500,S&P 500,5110.670290380493,4996.485107421875,998.9253271168183,3577.030029296875,6978.60009765625,4796.56005859375,6528.52001953125,36.10837641518605,-25.42509661923039
