family,model_name,window_size,setup_key,effective_config_json,effective_config_summary,avg_tune_abs_error_pct_mean,avg_tune_close_RMSE_pct,avg_tune_close_RMSE,avg_tune_close_MAE,avg_tune_close_R2,n_indices,config_index,config_key,config_summary,config_json,source_rows,selection_rank,is_top5,is_selected_best
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,1.644619369387427,2.0042906739840856,236.93944114829486,193.210942377121,0.9045029848927287,4,1,4279e6e80447c71a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",4,1,True,True
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",learning_rate=0.16 max_depth=2 n_estimators=100 subsample=0.8,1.6458505391787481,2.014673888273848,233.33028115863965,190.82566589851436,0.904203419185102,4,25,e8499da06c5ad0f3,learning_rate=0.16 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",4,2,True,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",learning_rate=0.16 max_depth=2 n_estimators=500 subsample=0.8,1.6458678751334874,2.014694916160142,233.33268416540704,190.82760364326037,0.904201149717721,4,29,3eb504562167ef28,learning_rate=0.16 max_depth=2 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",4,3,True,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",learning_rate=0.16 max_depth=2 n_estimators=300 subsample=0.8,1.645867875133877,2.0146949162904995,233.33268416744835,190.82760363992537,0.9042011497029092,4,27,1bfbc6c29848f690,learning_rate=0.16 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",4,4,True,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",learning_rate=0.04 max_depth=3 n_estimators=100 subsample=0.8,1.6477000456917459,2.0091660174087407,236.2704489546734,192.15189117836294,0.9044402740590504,4,7,5708720c56ae8c36,learning_rate=0.04 max_depth=3 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",4,5,True,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",learning_rate=0.08 max_depth=2 n_estimators=100 subsample=0.8,1.6487179970903054,2.017858275700638,236.674495480535,192.88601220697797,0.9034110849583844,4,13,dcb8076b850ef5d4,learning_rate=0.08 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",4,6,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",learning_rate=0.08 max_depth=2 n_estimators=300 subsample=0.8,1.6499389134155422,2.0196763590813847,236.8155014567043,192.9772738188706,0.9032376320304616,4,15,443ba1a5a28c4023,learning_rate=0.08 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",4,7,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",learning_rate=0.08 max_depth=2 n_estimators=500 subsample=0.8,1.649939664605128,2.0196773313027743,236.8156279438692,192.97736237008354,0.9032375585066224,4,17,8ad8b1cebd809d2d,learning_rate=0.08 max_depth=2 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",4,8,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",learning_rate=0.04 max_depth=2 n_estimators=300 subsample=0.8,1.6509766146465925,2.015032938949416,238.0283171695365,193.79922454098875,0.9034295264045276,4,3,33f909e150dad66d,learning_rate=0.04 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",4,9,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",learning_rate=0.04 max_depth=2 n_estimators=500 subsample=0.8,1.6511965019076462,2.0153274119220246,238.05880625880445,193.81626770450632,0.9034021944658821,4,5,92fd80a0db71798e,learning_rate=0.04 max_depth=2 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",4,10,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",learning_rate=0.04 max_depth=3 n_estimators=300 subsample=0.8,1.6516293183095854,2.016043281161769,236.9398677684087,192.48822965469628,0.9037741351933123,4,9,0c65dee93bf18bc7,learning_rate=0.04 max_depth=3 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",4,11,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",learning_rate=0.04 max_depth=3 n_estimators=500 subsample=0.8,1.6516693907191902,2.016108458403091,236.94613367158485,192.49179277381594,0.9037680455592104,4,11,df972d756040e157,learning_rate=0.04 max_depth=3 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",4,12,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.16, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",learning_rate=0.16 max_depth=3 n_estimators=100 subsample=0.8,1.6537711880740538,2.0322482043675554,237.09866658657256,193.12406772390898,0.9024103609644654,4,31,f7c6107a87eaf616,learning_rate=0.16 max_depth=3 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",4,13,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.16, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",learning_rate=0.16 max_depth=3 n_estimators=300 subsample=0.8,1.6537732253664799,2.0322522617970478,237.09904591208948,193.1241341807557,0.9024099791674052,4,33,515ea1c381f2efd6,learning_rate=0.16 max_depth=3 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",4,14,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.16, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",learning_rate=0.16 max_depth=3 n_estimators=500 subsample=0.8,1.653773225367034,2.0322522617975625,237.09904591211566,193.1241341807799,0.902409979167359,4,35,81690408b021ed2a,learning_rate=0.16 max_depth=3 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",4,15,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",learning_rate=0.08 max_depth=3 n_estimators=100 subsample=0.8,1.6545785519159406,2.0174530180174135,236.40904173950884,192.49224716498614,0.9039296894084332,4,19,ba8a3e2e4025cba1,learning_rate=0.08 max_depth=3 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",4,16,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",learning_rate=0.08 max_depth=3 n_estimators=300 subsample=0.8,1.6552922521778344,2.0184083168788143,236.50329166417816,192.56660097739976,0.9038371871772929,4,21,86275d606a03973e,learning_rate=0.08 max_depth=3 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",4,17,False,False
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",learning_rate=0.08 max_depth=3 n_estimators=500 subsample=0.8,1.6552922834642971,2.018408362925454,236.50329590348042,192.5666037957441,0.9038371830095302,4,23,6dcc0d318d6cb8d1,learning_rate=0.08 max_depth=3 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",4,18,False,False
