family,model_name,window_size,setup_key,effective_config_json,effective_config_summary,avg_tune_abs_error_pct_mean,avg_tune_close_RMSE_pct,avg_tune_close_RMSE,avg_tune_close_MAE,avg_tune_close_R2,n_indices,config_index,config_key,config_summary,config_json,source_rows,selection_rank,is_top5,is_selected_best
ml,GradientBoosting,10,GradientBoosting_w10,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,1.644619369387427,2.0042906739840856,236.93944114829486,193.210942377121,0.9045029848927287,4,1,4279e6e80447c71a,learning_rate=0.04 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",4,1,True,True
ml,GradientBoosting,20,GradientBoosting_w20,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",learning_rate=0.08 max_depth=2 n_estimators=100 subsample=0.8,1.6819131774199485,2.0896050132349058,245.71475994076866,193.819138466026,0.8924667575053271,4,13,dcb8076b850ef5d4,learning_rate=0.08 max_depth=2 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",4,1,True,True
ml,RandomForest,10,RandomForest_w10,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 100}",max_depth=None max_features=0.8 min_samples_leaf=1 n_estimators=100,1.6386830695957264,1.9797253012756881,233.06688848605293,191.18933265651515,0.9074263856243958,4,7,cb02c1136792f10c,max_depth=None max_features=0.8 min_samples_leaf=1 n_estimators=100,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 100}",4,1,True,True
ml,RandomForest,20,RandomForest_w20,"{""max_depth"": 4, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 100}",max_depth=4 max_features=0.8 min_samples_leaf=1 n_estimators=100,1.7269195607359793,2.1371432469514646,253.57913313537114,201.46017804766723,0.8868616860862997,4,19,4fed66cd3f5ddd7a,max_depth=4 max_features=0.8 min_samples_leaf=1 n_estimators=100,"{""max_depth"": 4, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 100}",4,1,True,True
ml,SVR,10,SVR_w10,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": 0.01}",C=10.0 epsilon=0.1 gamma=0.01,1.6128363107389418,1.9798408759931818,234.52001897611242,188.70586238922732,0.9066091493170051,4,34,cc4c82a5255cfd43,C=10.0 epsilon=0.1 gamma=0.01,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": 0.01}",4,1,True,True
ml,SVR,20,SVR_w20,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": 0.01}",C=10.0 epsilon=0.01 gamma=0.01,1.6356959016248827,2.032461015803567,239.33873347209246,190.28620209392008,0.8997166945758663,4,28,00f2c7c3b40f1730,C=10.0 epsilon=0.01 gamma=0.01,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": 0.01}",4,1,True,True
ml,XGBoost,10,XGBoost_w10,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",learning_rate=0.08 max_depth=3 n_estimators=300 subsample=0.8,1.6095937170361845,1.993257331193535,232.48975389322857,186.40360753676472,0.9062022675978876,4,21,6c6dc62e47ce264e,learning_rate=0.08 max_depth=3 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",4,1,True,True
ml,XGBoost,20,XGBoost_w20,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",learning_rate=0.08 max_depth=3 n_estimators=500 subsample=0.8,1.7128468282829483,2.124948768238259,243.77263453936013,194.45853630174392,0.8912173032911092,4,23,6ed5493d5a698f10,learning_rate=0.08 max_depth=3 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",4,1,True,True
dl,GRU,10,GRU_w10,"{""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 3, ""weight_decay"": 0.001}",hid=128 layers=3 drop=0.00 lr=3e-04 bs=16 ep=32 wd=1e-03,1.5456998615994586,1.882489269004644,222.8874908902466,179.4610065442944,0.9157364266166369,4,72,98ffd95c2936a288,hid=128 layers=3 drop=0.00 lr=3e-04 bs=16 ep=32 act=relu wd=1e-03,"{""activation"": ""relu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 3, ""weight_decay"": 0.001}",12,1,True,True
dl,GRU,20,GRU_w20,"{""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 2, ""weight_decay"": 0.001}",hid=128 layers=2 drop=0.00 lr=3e-04 bs=16 ep=32 wd=1e-03,1.5270456877760428,1.9030717700217776,223.61575244603736,178.01639068748148,0.9113526598109712,4,69,4e243d8835e0f454,hid=128 layers=2 drop=0.00 lr=3e-04 bs=16 ep=32 act=relu wd=1e-03,"{""activation"": ""relu"", ""batch_size"": 16, ""dropout"": 0.0, ""epoch"": 32, ""hidden_dim"": 128, ""learning_rate"": 0.0003, ""num_layers"": 2, ""weight_decay"": 0.001}",12,1,True,True
