case_key,index_key,window_size,model,config_index,config_key,config_summary,config_json,tune_MAE,tune_RMSE,tune_R2,tune_n,tune_close_MAE,tune_close_RMSE,tune_close_R2,tune_close_n,tune_close_MAE_pct,tune_close_RMSE_pct,tune_abs_error_pct_mean,tune_error_pct_bias,tune_windows,eval_MAE,eval_RMSE,eval_R2,eval_n,eval_close_MAE,eval_close_RMSE,eval_close_R2,eval_close_n,eval_close_MAE_pct,eval_close_RMSE_pct,eval_abs_error_pct_mean,eval_error_pct_bias,eval_windows,mean_fit_seconds,metric_scope,target_definition,family,model_name,effective_config_json,selection_rank,is_top5,is_selected_best
RUSSELL3000_w10,RUSSELL3000,10,GradientBoosting,29,3eb504562167ef28,learning_rate=0.16 max_depth=2 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",38.88959983593775,47.6871444787855,0.8973436008314117,221,38.88959983593775,47.6871444787855,0.8973436008314117,221,1.663192649743056,2.03943749791579,1.6651897213792977,0.0933731153514206,221,,,,0,,,,0,,,,,0,0.0562539596586778,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",3,True,False
SP500_w10,SP500,10,GradientBoosting,29,3eb504562167ef28,learning_rate=0.16 max_depth=2 n_estimators=500 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",63.18230674720087,78.1712168126317,0.902235321227472,221,63.18230674720087,78.1712168126317,0.902235321227472,221,1.565005204951307,1.936275636130769,1.568337874122636,0.1428942031670244,221,,,,0,,,,0,,,,,0,0.0562467974825546,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",3,True,False
DOWJONES_w10,DOWJONES,10,GradientBoosting,27,1bfbc6c29848f690,learning_rate=0.16 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",416.07125597079227,505.3053062488728,0.8916245868630148,221,416.07125597079227,505.3053062488728,0.8916245868630148,221,1.2778161740282952,1.5518670994000536,1.2862884156746677,0.0311332155121527,221,,,,0,,,,0,,,,,0,0.0343223864768896,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",4,True,False
NASDAQ_w10,NASDAQ,10,GradientBoosting,27,1bfbc6c29848f690,learning_rate=0.16 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",245.16725199266745,302.1670691073224,0.9256010899561185,221,245.16725199266745,302.1670691073224,0.9256010899561185,221,2.053722169629604,2.5311994310572477,2.063655489059741,0.4796673593255409,221,,,,0,,,,0,,,,,0,0.0340679886885728,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",4,True,False
RUSSELL3000_w10,RUSSELL3000,10,GradientBoosting,27,1bfbc6c29848f690,learning_rate=0.16 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",38.889599837694455,47.68714448482651,0.8973436008054028,221,38.889599837694455,47.68714448482651,0.8973436008054028,221,1.663192649818185,2.0394374981741463,1.6651897214332798,0.0933731151801224,221,,,,0,,,,0,,,,,0,0.0343336116552049,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",4,True,False
SP500_w10,SP500,10,GradientBoosting,27,1bfbc6c29848f690,learning_rate=0.16 max_depth=2 n_estimators=300 subsample=0.8,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",63.18230675854728,78.17121682877168,0.902235321187101,221,63.18230675854728,78.17121682877168,0.902235321187101,221,1.565005205232354,1.936275636530551,1.5683378743678185,0.1428942029035972,221,,,,0,,,,0,,,,,0,0.03431417229185,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.16, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",4,True,False
DOWJONES_w10,DOWJONES,10,GradientBoosting,7,5708720c56ae8c36,learning_rate=0.04 max_depth=3 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",419.3931397484957,518.134163004231,0.8860517905987623,221,419.3931397484957,518.134163004231,0.8860517905987623,221,1.2880181688993122,1.5912664100254423,1.298671200753961,0.0457964699910825,221,,,,0,,,,0,,,,,0,0.0120215345515418,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",5,True,False
NASDAQ_w10,NASDAQ,10,GradientBoosting,7,5708720c56ae8c36,learning_rate=0.04 max_depth=3 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",248.28216057783112,303.2836710311771,0.92505021948244,221,248.28216057783112,303.2836710311771,0.92505021948244,221,2.0798152010835427,2.5405530054316103,2.0895852061724285,0.4700000507601806,221,,,,0,,,,0,,,,,0,0.0119626250042162,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",5,True,False
RUSSELL3000_w10,RUSSELL3000,10,GradientBoosting,7,5708720c56ae8c36,learning_rate=0.04 max_depth=3 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",38.30256291383132,46.76956975783164,0.901256130700654,221,38.30256291383132,46.76956975783164,0.901256130700654,221,1.638086824584296,2.00019555307916,1.644198588314829,0.1819506455690527,221,,,,0,,,,0,,,,,0,0.0120024666615773,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",5,True,False
SP500_w10,SP500,10,GradientBoosting,7,5708720c56ae8c36,learning_rate=0.04 max_depth=3 n_estimators=100 subsample=0.8,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",62.62970147329365,76.89439202545391,0.9054029554543452,221,62.62970147329365,76.89439202545391,0.9054029554543452,221,1.551317351903956,1.9046491010987503,1.558345187525765,0.1841625282956721,221,,,,0,,,,0,,,,,0,0.0120524157626697,selection=one_step_index_level; presentation=index_level_and_relative_error,one_step_index_level,ml,GradientBoosting,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",5,True,False
