Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,2788.02001953125,2804.93994140625,2783.0400390625,2804.929931640625,2804.929931640625,0
2022-01-04,2788.02001953125,2817.110107421875,2783.0400390625,2800.409912109375,2800.409912109375,0
2022-01-05,2799.72998046875,2801.260009765625,2738.93994140625,2739.340087890625,2739.340087890625,0
2022-01-06,2739.22998046875,2756.68994140625,2721.56005859375,2739.199951171875,2739.199951171875,0
2022-01-07,2739.06005859375,2748.27001953125,2718.56005859375,2725.60009765625,2725.60009765625,0
2022-01-10,2725.25,2725.25,2668.590087890625,2721.6201171875,2721.6201171875,0
2022-01-11,2721.6201171875,2749.110107421875,2705.449951171875,2748.590087890625,2748.590087890625,0
2022-01-12,2749.56005859375,2768.929931640625,2741.489990234375,2752.639892578125,2752.639892578125,0
2022-01-13,2752.8701171875,2763.570068359375,2708.0400390625,2712.909912109375,2712.909912109375,0
2022-01-14,2712.169921875,2715.1201171875,2683.719970703125,2714.169921875,2714.169921875,0
2022-01-18,2713.169921875,2713.169921875,2656.39990234375,2660.81005859375,2660.81005859375,0
2022-01-19,2661.010009765625,2680.550048828125,2632.719970703125,2633.860107421875,2633.860107421875,0
2022-01-20,2634.4599609375,2676.949951171875,2600.489990234375,2603.06005859375,2603.06005859375,0
2022-01-21,2602.81005859375,2610.260009765625,2551.820068359375,2552.5400390625,2552.5400390625,0
2022-01-24,2551.0,2569.9599609375,2452.550048828125,2565.949951171875,2565.949951171875,0
2022-01-25,2563.280029296875,2563.889892578125,2493.1298828125,2531.3798828125,2531.3798828125,0
2022-01-26,2535.68994140625,2587.969970703125,2499.52001953125,2523.6298828125,2523.6298828125,0
2022-01-27,2524.239990234375,2568.31005859375,2497.27001953125,2505.659912109375,2505.659912109375,0
2022-01-28,2505.919921875,2567.169921875,2484.85009765625,2566.7900390625,2566.7900390625,0
2022-01-31,2566.699951171875,2622.2900390625,2558.97998046875,2621.969970703125,2621.969970703125,0
2022-02-01,2622.0,2644.320068359375,2602.2900390625,2642.22998046875,2642.22998046875,0
2022-02-02,2642.3798828125,2662.360107421875,2634.6298828125,2659.22998046875,2659.22998046875,0
2022-02-03,2658.280029296875,2658.280029296875,2590.780029296875,2594.10009765625,2594.10009765625,0
2022-02-04,2593.7099609375,2632.35009765625,2580.10009765625,2610.659912109375,2610.659912109375,0
2022-02-07,2610.7099609375,2625.18994140625,2596.93994140625,2603.570068359375,2603.570068359375,0
2022-02-08,2602.929931640625,2633.1201171875,2593.72998046875,2627.81005859375,2627.81005859375,0
2022-02-09,2628.360107421875,2670.10009765625,2628.360107421875,2669.320068359375,2669.320068359375,0
2022-02-10,2668.489990234375,2674.5400390625,2610.72998046875,2622.47998046875,2622.47998046875,0
2022-02-11,2622.699951171875,2635.56005859375,2563.64990234375,2573.780029296875,2573.780029296875,0
2022-02-14,2573.8701171875,2579.389892578125,2543.7900390625,2563.3798828125,2563.3798828125,0
